timestamp,rpm,velocidad_lineal
2026-04-13 19:03:12,19.28,0.20
2026-04-13 19:03:14,19.28,0.20
2026-04-13 19:03:16,19.28,0.20
2026-04-13 19:03:18,19.28,0.20
2026-04-13 19:03:20,19.28,0.20
2026-04-13 19:03:22,19.28,0.20
2026-04-13 19:03:24,19.28,0.20
2026-04-13 19:30:28,19.10,0.20
2026-04-13 19:30:30,16.53,0.17
2026-04-13 19:30:32,19.47,0.20
2026-04-13 19:30:34,18.73,0.20
2026-04-13 19:30:36,20.38,0.21
2026-04-13 19:30:38,19.10,0.20
2026-04-13 19:30:40,20.02,0.21
2026-04-13 19:30:42,17.08,0.18
2026-04-13 19:30:44,22.04,0.23
